Overriding config with config/train_shakespeare_char_do0.0.py:
# Experiment 3: Low Dropout
# Change: dropout 0.2 -> 0.0 (remove dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do0.0'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do0.0'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\creep\.vscode\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 2510: loss 0.2289, time 965.44ms, mfu 0.34%
iter 2520: loss 0.2017, time 942.99ms, mfu 0.34%
iter 2530: loss 0.2115, time 962.72ms, mfu 0.35%
iter 2540: loss 0.2200, time 963.00ms, mfu 0.35%
iter 2550: loss 0.2155, time 975.26ms, mfu 0.36%
iter 2560: loss 0.2176, time 976.23ms, mfu 0.36%
iter 2570: loss 0.2250, time 973.93ms, mfu 0.36%
iter 2580: loss 0.2175, time 990.04ms, mfu 0.36%
iter 2590: loss 0.1982, time 959.80ms, mfu 0.36%
iter 2600: loss 0.2250, time 1005.07ms, mfu 0.37%
iter 2610: loss 0.2089, time 965.87ms, mfu 0.37%
iter 2620: loss 0.1976, time 960.70ms, mfu 0.37%
iter 2630: loss 0.1993, time 965.60ms, mfu 0.37%
iter 2640: loss 0.1909, time 975.54ms, mfu 0.37%
iter 2650: loss 0.1929, time 997.77ms, mfu 0.37%
iter 2660: loss 0.1909, time 973.80ms, mfu 0.37%
iter 2670: loss 0.1910, time 963.37ms, mfu 0.37%
iter 2680: loss 0.1972, time 973.64ms, mfu 0.38%
iter 2690: loss 0.2135, time 971.30ms, mfu 0.38%
iter 2700: loss 0.1869, time 977.88ms, mfu 0.38%
iter 2710: loss 0.2006, time 988.95ms, mfu 0.38%
iter 2720: loss 0.1875, time 977.04ms, mfu 0.38%
iter 2730: loss 0.1963, time 975.60ms, mfu 0.38%
iter 2740: loss 0.1875, time 988.43ms, mfu 0.38%
step 2750: train loss 0.1855, val loss 3.2383
iter 2750: loss 0.1787, time 150075.37ms, mfu 0.34%
iter 2760: loss 0.1929, time 997.92ms, mfu 0.34%
iter 2770: loss 0.1798, time 994.10ms, mfu 0.35%
iter 2780: loss 0.1734, time 940.40ms, mfu 0.35%
iter 2790: loss 0.1851, time 977.39ms, mfu 0.35%
iter 2800: loss 0.1642, time 976.23ms, mfu 0.36%
iter 2810: loss 0.1717, time 962.87ms, mfu 0.36%
iter 2820: loss 0.1782, time 968.80ms, mfu 0.36%
iter 2830: loss 0.1834, time 986.15ms, mfu 0.36%
iter 2840: loss 0.1709, time 994.94ms, mfu 0.37%
iter 2850: loss 0.1784, time 970.22ms, mfu 0.37%
iter 2860: loss 0.1803, time 957.65ms, mfu 0.37%
iter 2870: loss 0.1694, time 946.95ms, mfu 0.37%
iter 2880: loss 0.1723, time 964.79ms, mfu 0.37%
iter 2890: loss 0.1759, time 962.98ms, mfu 0.37%
iter 2900: loss 0.1661, time 973.19ms, mfu 0.38%
iter 2910: loss 0.1699, time 950.47ms, mfu 0.38%
iter 2920: loss 0.1669, time 984.07ms, mfu 0.38%
iter 2930: loss 0.1660, time 1002.98ms, mfu 0.38%
iter 2940: loss 0.1533, time 951.46ms, mfu 0.38%
iter 2950: loss 0.1636, time 973.61ms, mfu 0.38%
iter 2960: loss 0.1511, time 992.66ms, mfu 0.38%
iter 2970: loss 0.1614, time 985.21ms, mfu 0.38%
iter 2980: loss 0.1624, time 962.88ms, mfu 0.38%
iter 2990: loss 0.1497, time 991.21ms, mfu 0.38%
step 3000: train loss 0.1538, val loss 3.3995
iter 3000: loss 0.1522, time 149708.61ms, mfu 0.34%
iter 3010: loss 0.1584, time 994.10ms, mfu 0.34%
iter 3020: loss 0.1561, time 975.85ms, mfu 0.35%
iter 3030: loss 0.1586, time 982.95ms, mfu 0.35%
iter 3040: loss 0.1533, time 979.31ms, mfu 0.35%
iter 3050: loss 0.1474, time 978.98ms, mfu 0.36%
iter 3060: loss 0.1535, time 1002.87ms, mfu 0.36%
iter 3070: loss 0.1538, time 989.55ms, mfu 0.36%
iter 3080: loss 0.1425, time 957.70ms, mfu 0.36%
iter 3090: loss 0.1470, time 965.74ms, mfu 0.37%
iter 3100: loss 0.1485, time 981.06ms, mfu 0.37%
iter 3110: loss 0.1464, time 959.62ms, mfu 0.37%
iter 3120: loss 0.1447, time 957.64ms, mfu 0.37%
iter 3130: loss 0.1379, time 975.60ms, mfu 0.37%
iter 3140: loss 0.1426, time 974.94ms, mfu 0.37%
iter 3150: loss 0.1523, time 946.98ms, mfu 0.38%
iter 3160: loss 0.1431, time 979.93ms, mfu 0.38%
iter 3170: loss 0.1437, time 978.15ms, mfu 0.38%
iter 3180: loss 0.1392, time 977.33ms, mfu 0.38%
iter 3190: loss 0.1443, time 960.14ms, mfu 0.38%
iter 3200: loss 0.1294, time 972.72ms, mfu 0.38%
iter 3210: loss 0.1363, time 991.10ms, mfu 0.38%
iter 3220: loss 0.1398, time 1009.01ms, mfu 0.38%
iter 3230: loss 0.1362, time 961.73ms, mfu 0.38%
iter 3240: loss 0.1355, time 960.02ms, mfu 0.38%
step 3250: train loss 0.1343, val loss 3.6405
iter 3250: loss 0.1345, time 150023.58ms, mfu 0.34%
iter 3260: loss 0.1407, time 964.96ms, mfu 0.35%
iter 3270: loss 0.1279, time 975.86ms, mfu 0.35%
iter 3280: loss 0.1391, time 990.80ms, mfu 0.35%
iter 3290: loss 0.1328, time 970.91ms, mfu 0.36%
iter 3300: loss 0.1314, time 978.09ms, mfu 0.36%
iter 3310: loss 0.1299, time 973.91ms, mfu 0.36%
iter 3320: loss 0.1323, time 977.66ms, mfu 0.36%
iter 3330: loss 0.1336, time 974.99ms, mfu 0.36%
iter 3340: loss 0.1297, time 989.54ms, mfu 0.37%
iter 3350: loss 0.1363, time 973.15ms, mfu 0.37%
iter 3360: loss 0.1258, time 975.29ms, mfu 0.37%
iter 3370: loss 0.1239, time 970.08ms, mfu 0.37%
