Overriding config with config/train_shakespeare_char_lr1e2.py:
# Experiment 1: High learning rate
# Change: learning_rate 1e-3 -> 1e-2 (10x increase)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-lr1e2'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'lr1e2'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-2       # CHANGED: baseline was 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda'
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
saving checkpoint to out-shakespeare-lr1e2
iter 2750: loss 1.4835, time 20883.25ms, mfu 2.19%
iter 2760: loss 1.4713, time 164.86ms, mfu 2.19%
iter 2770: loss 1.4695, time 144.83ms, mfu 2.23%
iter 2780: loss 1.4694, time 144.05ms, mfu 2.27%
iter 2790: loss 1.4812, time 153.93ms, mfu 2.28%
iter 2800: loss 1.4663, time 145.88ms, mfu 2.31%
iter 2810: loss 1.4875, time 150.69ms, mfu 2.33%
iter 2820: loss 1.4816, time 149.81ms, mfu 2.34%
iter 2830: loss 1.4628, time 150.52ms, mfu 2.36%
iter 2840: loss 1.4142, time 164.53ms, mfu 2.35%
iter 2850: loss 1.4633, time 157.80ms, mfu 2.35%
iter 2860: loss 1.4545, time 167.07ms, mfu 2.34%
iter 2870: loss 1.4446, time 147.37ms, mfu 2.36%
iter 2880: loss 1.4838, time 145.66ms, mfu 2.38%
iter 2890: loss 1.4331, time 146.44ms, mfu 2.39%
iter 2900: loss 1.4266, time 150.69ms, mfu 2.40%
iter 2910: loss 1.4724, time 145.56ms, mfu 2.42%
iter 2920: loss 1.4513, time 141.69ms, mfu 2.44%
iter 2930: loss 1.4412, time 148.67ms, mfu 2.44%
iter 2940: loss 1.4211, time 146.94ms, mfu 2.45%
iter 2950: loss 1.4448, time 154.17ms, mfu 2.45%
iter 2960: loss 1.4108, time 152.07ms, mfu 2.45%
iter 2970: loss 1.3984, time 140.49ms, mfu 2.47%
iter 2980: loss 1.4002, time 149.76ms, mfu 2.47%
iter 2990: loss 1.4117, time 156.44ms, mfu 2.46%
step 3000: train loss 1.3117, val loss 1.5703
saving checkpoint to out-shakespeare-lr1e2
iter 3000: loss 1.3955, time 21782.03ms, mfu 2.22%
iter 3010: loss 1.3994, time 159.95ms, mfu 2.23%
iter 3020: loss 1.4243, time 170.93ms, mfu 2.22%
iter 3030: loss 1.4108, time 153.23ms, mfu 2.25%
iter 3040: loss 1.4466, time 143.79ms, mfu 2.28%
iter 3050: loss 1.3997, time 142.99ms, mfu 2.31%
iter 3060: loss 1.4086, time 154.26ms, mfu 2.32%
iter 3070: loss 1.4132, time 144.71ms, mfu 2.35%
iter 3080: loss 1.4100, time 185.50ms, mfu 2.31%
iter 3090: loss 1.3953, time 143.41ms, mfu 2.34%
iter 3100: loss 1.4190, time 151.84ms, mfu 2.35%
iter 3110: loss 1.3656, time 153.15ms, mfu 2.36%
iter 3120: loss 1.4022, time 154.59ms, mfu 2.37%
iter 3130: loss 1.3803, time 156.39ms, mfu 2.37%
iter 3140: loss 1.3756, time 141.85ms, mfu 2.39%
iter 3150: loss 1.3920, time 141.86ms, mfu 2.42%
iter 3160: loss 1.4350, time 141.25ms, mfu 2.44%
iter 3170: loss 1.3537, time 139.24ms, mfu 2.46%
iter 3180: loss 1.3562, time 157.09ms, mfu 2.45%
iter 3190: loss 1.3683, time 157.19ms, mfu 2.45%
iter 3200: loss 1.3654, time 142.09ms, mfu 2.46%
iter 3210: loss 1.3621, time 141.32ms, mfu 2.48%
iter 3220: loss 1.3495, time 138.79ms, mfu 2.50%
iter 3230: loss 1.3607, time 155.84ms, mfu 2.49%
iter 3240: loss 1.3394, time 152.62ms, mfu 2.49%
step 3250: train loss 1.2619, val loss 1.5455
saving checkpoint to out-shakespeare-lr1e2
iter 3250: loss 1.3615, time 19975.84ms, mfu 2.24%
iter 3260: loss 1.3476, time 142.36ms, mfu 2.28%
iter 3270: loss 1.3683, time 153.86ms, mfu 2.29%
iter 3280: loss 1.3352, time 141.58ms, mfu 2.33%
iter 3290: loss 1.3301, time 155.60ms, mfu 2.33%
iter 3300: loss 1.3360, time 145.45ms, mfu 2.36%
iter 3310: loss 1.3306, time 151.57ms, mfu 2.37%
