Overriding config with config/train_shakespeare_char_do04.py:
# Experiment 2b: High Dropout
# Change: dropout 0.2 -> 0.4 (increase dropout)
# All other hyperparameters match baseline

out_dir = 'out-shakespeare-do04'

eval_interval = 250
eval_iters = 200            
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'do04'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.4       # CHANGED: baseline was 0.2

learning_rate = 1e-3       
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100
weight_decay = 1e-1

device = 'cuda' # change to 'cpu' for CPU
compile = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
c:\Users\lexil\code\NLP Foundations Assignment\FoundationsNLP\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 2320: loss 1.3163, time 156.68ms, mfu 2.36%
iter 2330: loss 1.3101, time 135.60ms, mfu 2.40%
iter 2340: loss 1.3282, time 147.87ms, mfu 2.41%
iter 2350: loss 1.3276, time 146.84ms, mfu 2.42%
iter 2360: loss 1.3266, time 148.71ms, mfu 2.43%
iter 2370: loss 1.3087, time 159.25ms, mfu 2.42%
iter 2380: loss 1.2984, time 158.06ms, mfu 2.42%
iter 2390: loss 1.2897, time 145.06ms, mfu 2.43%
iter 2400: loss 1.2984, time 154.86ms, mfu 2.43%
iter 2410: loss 1.2918, time 151.28ms, mfu 2.43%
iter 2420: loss 1.2977, time 157.21ms, mfu 2.43%
iter 2430: loss 1.2724, time 150.96ms, mfu 2.43%
iter 2440: loss 1.2707, time 149.39ms, mfu 2.44%
iter 2450: loss 1.2924, time 152.52ms, mfu 2.44%
iter 2460: loss 1.2963, time 149.85ms, mfu 2.44%
iter 2470: loss 1.3020, time 148.78ms, mfu 2.45%
iter 2480: loss 1.3071, time 138.48ms, mfu 2.47%
iter 2490: loss 1.2822, time 151.26ms, mfu 2.47%
step 2500: train loss 1.2004, val loss 1.4910
saving checkpoint to out-shakespeare-do04
iter 2500: loss 1.3053, time 23947.20ms, mfu 2.23%
iter 2510: loss 1.3060, time 163.17ms, mfu 2.23%
iter 2520: loss 1.2892, time 152.19ms, mfu 2.25%
iter 2530: loss 1.2865, time 158.04ms, mfu 2.26%
iter 2540: loss 1.2768, time 144.37ms, mfu 2.30%
iter 2550: loss 1.3043, time 150.20ms, mfu 2.31%
iter 2560: loss 1.2761, time 148.01ms, mfu 2.33%
iter 2570: loss 1.3019, time 155.18ms, mfu 2.34%
iter 2580: loss 1.3021, time 159.78ms, mfu 2.34%
iter 2590: loss 1.2961, time 161.17ms, mfu 2.34%
iter 2600: loss 1.2815, time 142.85ms, mfu 2.36%
iter 2610: loss 1.2709, time 140.64ms, mfu 2.39%
iter 2620: loss 1.2652, time 152.69ms, mfu 2.40%
iter 2630: loss 1.2398, time 151.63ms, mfu 2.40%
iter 2640: loss 1.2723, time 141.70ms, mfu 2.43%
iter 2650: loss 1.3157, time 152.83ms, mfu 2.43%
iter 2660: loss 1.2744, time 156.82ms, mfu 2.42%
iter 2670: loss 1.2578, time 158.29ms, mfu 2.42%
iter 2680: loss 1.2840, time 145.44ms, mfu 2.43%
iter 2690: loss 1.2786, time 144.01ms, mfu 2.45%
iter 2700: loss 1.2614, time 153.03ms, mfu 2.44%
iter 2710: loss 1.2911, time 153.96ms, mfu 2.44%
iter 2720: loss 1.2773, time 147.94ms, mfu 2.45%
iter 2730: loss 1.2960, time 141.56ms, mfu 2.47%
iter 2740: loss 1.2690, time 149.47ms, mfu 2.47%
step 2750: train loss 1.1793, val loss 1.4882
saving checkpoint to out-shakespeare-do04
iter 2750: loss 1.2673, time 23730.42ms, mfu 2.23%
iter 2760: loss 1.2602, time 141.26ms, mfu 2.27%
iter 2770: loss 1.2641, time 162.81ms, mfu 2.27%
iter 2780: loss 1.2686, time 145.14ms, mfu 2.30%
iter 2790: loss 1.2742, time 153.03ms, mfu 2.31%
iter 2800: loss 1.2559, time 157.67ms, mfu 2.32%
iter 2810: loss 1.2875, time 150.02ms, mfu 2.33%
iter 2820: loss 1.2841, time 150.50ms, mfu 2.35%
iter 2830: loss 1.2706, time 157.41ms, mfu 2.35%
iter 2840: loss 1.2231, time 147.03ms, mfu 2.37%
iter 2850: loss 1.2715, time 139.62ms, mfu 2.40%
iter 2860: loss 1.2723, time 139.05ms, mfu 2.43%
iter 2870: loss 1.2577, time 155.70ms, mfu 2.42%
iter 2880: loss 1.2908, time 148.36ms, mfu 2.43%
iter 2890: loss 1.2596, time 148.87ms, mfu 2.44%
iter 2900: loss 1.2409, time 139.10ms, mfu 2.46%
iter 2910: loss 1.2869, time 138.11ms, mfu 2.49%
iter 2920: loss 1.2673, time 153.12ms, mfu 2.48%
iter 2930: loss 1.2506, time 154.07ms, mfu 2.48%
iter 2940: loss 1.2478, time 150.41ms, mfu 2.48%
iter 2950: loss 1.2651, time 152.39ms, mfu 2.47%
iter 2960: loss 1.2532, time 146.07ms, mfu 2.48%
iter 2970: loss 1.2474, time 152.18ms, mfu 2.48%
iter 2980: loss 1.2430, time 144.44ms, mfu 2.49%
iter 2990: loss 1.2488, time 144.58ms, mfu 2.50%
step 3000: train loss 1.1585, val loss 1.4679
saving checkpoint to out-shakespeare-do04
